,Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
122,2018-07-23 12:49:29,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,Expense,INR
123,2018-07-23 12:33:32,Cash,Food,breakfast,4 plates poha,100.0,Expense,INR
124,2018-07-21 19:02:36,Cash,Household,Kirana,Supermart,368.0,Expense,INR
125,2018-07-21 19:02:16,Cash,Food,fruits,Khajur pav kg,30.0,Expense,INR
126,2018-07-21 18:37:38,Saving Bank account 1,Food,snacks,2 Bhajipav + 2 vadapav,60.0,Expense,INR
127,2018-07-21 08:42:11,Cash,Food,Biscuits,Toast packet,45.0,Expense,INR
128,2018-07-20 19:59:46,Cash,Food,Ice cream,chocobar,20.0,Expense,INR
129,2018-07-20 19:59:08,Cash,Food,Potato,potato 1kg,25.0,Expense,INR
130,2018-07-20 19:58:46,Cash,Food,Onions,onion 1 kg,25.0,Expense,INR
131,2018-07-20 13:06:14,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,155.0,Expense,INR
132,2018-07-20 12:29:28,Cash,Health,Medicine,Cataract Medicine,87.0,Expense,INR
133,2018-07-20 09:11:48,Credit Card,Health,Medicine,Cataract Medicine,1048.0,Expense,INR
134,2018-07-19 20:25:13,Cash,Food,curd,Dahi 4 packets,40.0,Expense,INR
135,2018-07-18 20:26:03,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
136,2018-07-16 17:51:56,Cash,Apparel,Laundry,12 clothes ironing,84.0,Expense,INR
137,2018-07-16 10:43:53,Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,1190.0,Expense,INR
138,2018-07-16 10:41:01,Cash,Food,snacks,7 kachori,84.0,Expense,INR
139,2018-07-15 19:12:57,Cash,Food,fruits,,30.0,Expense,INR
140,2018-07-15 18:01:59,Cash,Food,vegetables,,500.0,Expense,INR
141,2018-07-15 09:41:01,Cash,Food,snacks,4 kachori,48.0,Expense,INR
142,2018-07-14 18:10:13,Saving Bank account 1,Other,Unknown,CA  - income tax filing,2000.0,Expense,INR
143,2018-07-13 14:02:44,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,188.0,Expense,INR
144,2018-07-13 09:36:19,Credit Card,Health,Medicine,Cataract Medicine,1358.0,Expense,INR
192,2018-06-30 18:47:45,Saving Bank account 1,Household,Appliances,Aqugurad PRV,1200.0,Expense,INR
193,2018-06-30 08:45:37,Saving Bank account 1,Dividend earned on Shares,Unknown,Asian paints Stocks,43.0,Income,INR
194,2018-06-30 08:45:18,Saving Bank account 1,Interest,Unknown,interest paid,342.0,Income,INR
195,2018-06-30 08:44:48,Saving Bank account 1,Salary,Unknown,From workplace ,65122.0,Income,INR
196,2018-06-29 17:01:00,Saving Bank account 1,Dividend earned on Shares,Unknown,HUL Stocks,44.0,Income,INR
197,2018-06-29 16:13:02,Cash,Household,Hardware,Tulsi plant+ pot,70.0,Expense,INR
198,2018-06-29 16:10:41,Cash,Household,Kitchen,Math tap repair,50.0,Expense,INR
199,2018-06-29 15:28:46,Cash,Household,Appliances,3 bulbs 3 pencil cells,270.0,Expense,INR
200,2018-06-28 20:44:36,Credit Card,Food,Dinner,Home Food Delivery,455.0,Expense,INR
201,2018-06-28 18:35:52,Cash,Food,snacks,Bhaji + vadapav + kachori+ tea,70.0,Expense,INR
202,2018-06-28 15:06:59,Cash,Transportation,Taxi,Vadala road to Nehru Planetarium,228.0,Expense,INR
203,2018-06-28 10:08:21,Credit Card,Apparel,Footwear,Mast & Harbour Slides,64.82,Expense,INR
204,2018-06-27 21:32:27,Credit Card,Tourism,Entry Fees,Planetarium,308.85,Expense,INR
205,2018-06-27 19:11:09,Saving Bank account 1,Other,Unknown,From Family,3000.0,Income,INR
206,2018-06-27 18:53:54,Cash,Food,Tea,2 cups,14.0,Expense,INR
207,2018-06-27 18:48:45,Cash,Household,gadgets,Mobile cover real mi note pro,100.0,Expense,INR
208,2018-06-27 18:46:33,Credit Card,Other,Unknown,Shopping at Alfa,4720.0,Expense,INR
209,2018-06-27 18:46:48,Cash,Household,gadgets,Mouse pad,100.0,Expense,INR
210,2018-06-27 18:43:23,Credit Card,Apparel,Accessories,Purse,450.0,Expense,INR
211,2018-06-27 18:19:27,Credit Card,Apparel,Footwear,Rainy season chappal,550.0,Expense,INR
212,2018-06-27 18:18:28,Cash,Transportation,auto,Place P station to Alfa market,25.0,Expense,INR
213,2018-06-27 14:00:32,Cash,Transportation,Train,2 Place 0 to Place P return,80.0,Expense,INR
214,2018-06-27 13:59:52,Cash,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR
215,2018-06-27 06:30:08,Share Market Trading,Saving Bank account 1,Unknown,Refund,2549.59,Transfer-Out,INR
216,2018-06-26 19:47:42,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
217,2018-06-26 19:47:42,Credit Card,Household,Kirana,Supermart,1990.0,Expense,INR
218,2018-06-26 17:25:23,Saving Bank account 1,Household,Appliances,Aqugurad water purifier,13050.0,Expense,INR
219,2018-06-26 12:49:54,Saving Bank account 1,Household,Hardware,Umbrella handle repair,70.0,Expense,INR
220,2018-06-26 11:47:08,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
221,2018-06-26 11:45:49,Cash,Food,Tea,2 cutting chai,20.0,Expense,INR
222,2018-06-26 11:44:48,Cash,Food,snacks,Bhaji + vadapav,30.0,Expense,INR
223,2018-06-25 15:09:49,Saving Bank account 1,Food,Lunch,Home Food Delivery,320.0,Expense,INR
224,2018-06-25 14:23:22,Credit Card,Household,Kirana,Smart point,2074.0,Expense,INR
225,2018-06-24 16:11:39,Cash,Transportation,auto,2 Place 0 to Current Residence,40.0,Expense,INR
226,2018-06-24 16:11:17,Saving Bank account 1,Food,breakfast,Bread,18.0,Expense,INR
227,2018-06-24 16:11:07,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
228,2018-06-24 14:37:00,Credit Card,Health,Health,Suppliemnts,211.75,Expense,INR
229,2018-06-24 13:31:06,Cash,Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR
230,2018-06-24 11:29:20,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
231,2018-06-24 11:00:13,Cash,Food,snacks,2 Vadapav 2 samosa pav,60.0,Expense,INR
232,2018-06-23 19:25:22,Credit Card,subscription,Mobile Service Provider,Annual recharge,2545.0,Expense,INR
233,2018-06-23 10:15:35,Cash,Transportation,auto,,30.0,Expense,INR
234,2018-06-22 15:32:22,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR
235,2018-06-19 13:24:01,Saving Bank account 1,Family,Pocket money,,2000.0,Expense,INR
236,2018-06-19 10:25:47,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR
237,2018-06-18 22:18:59,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR
238,2018-06-16 09:01:39,Saving Bank account 1,Share Market,Unknown,,8500.0,Transfer-Out,INR
239,2018-06-15 21:19:39,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR
240,2018-06-15 09:24:33,Saving Bank account 1,Transportation,train,2CC Place 2 to DDR Spl Train,1213.6,Expense,INR
250,2018-05-31 08:47:33,Saving Bank account 1,Salary,Unknown,From workplace ,65134.0,Income,INR
251,2018-05-30 07:42:56,Saving Bank account 1,Dividend earned on Shares,Unknown,HDFC Stocks,88.0,Income,INR
252,2018-05-28 14:11:17,Credit Card,subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR
253,2018-05-28 10:41:59,Cash,Beauty,grooming,hair cut,100.0,Expense,INR
254,2018-05-27 10:50:10,Saving Bank account 2,Interest,Unknown,interest paid,28.0,Income,INR
255,2018-05-27 10:50:10,Cash,Household,Kirana,Soap + dahya pav kg,75.0,Expense,INR
256,2018-05-26 07:55:09,Cash,Transportation,auto,Permanent Residence to Motor Driving school,50.0,Expense,INR
257,2018-05-24 09:04:01,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR
258,2018-05-23 21:20:18,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,166.0,Expense,INR
259,2018-05-22 20:47:36,Cash,Health,Health,2 All out refill,154.0,Expense,INR
261,2018-05-21 14:06:05,Cash,Family,Pocket money,,140.0,Expense,INR
262,2018-05-20 14:06:20,Saving Bank account 1,Family,misc,"Soap, shampoo, razor",122.0,Expense,INR
263,2018-05-19 19:26:19,Cash,Household,Kitchen,flour mill,25.0,Expense,INR
264,2018-05-19 15:17:18,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR
265,2018-05-18 15:35:49,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,301.0,Expense,INR
266,2018-05-15 20:11:58,Saving Bank account 1,Food,Ice cream,Cookies & cream family pack,135.0,Expense,INR
267,2018-05-15 20:11:12,Cash,Transportation,auto,within city,30.0,Expense,INR
268,2018-05-15 20:10:10,Saving Bank account 1,Household,Appliances,LG Washing Machine,21500.0,Expense,INR
269,2018-05-15 18:43:55,Cash,Transportation,auto,Permanent Residence to GH road,50.0,Expense,INR
270,2018-05-14 23:09:55,Saving Bank account 1,Amazon pay cashback,Unknown,,21.0,Income,INR
271,2018-05-14 23:08:45,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,301.0,Expense,INR
272,2018-05-14 22:49:32,Cash,Other,Unknown,Digilock room charges,40.0,Expense,INR
273,2018-05-14 22:49:07,Cash,Transportation,auto,Place 2 station to Permanent Residence,50.0,Expense,INR
274,2018-05-14 18:01:15,Cash,Food,snacks,Potato chips,15.0,Expense,INR
275,2018-05-14 12:55:41,Saving Bank account 1,Food,fruits,2 dozens mango + 1kg litchi,1250.0,Expense,INR
276,2018-05-14 09:47:57,Cash,Transportation,Train,2 Place 0 to Place 3,40.0,Expense,INR
277,2018-05-14 09:47:13,Cash,Transportation,auto,2 Current Residence to Place 0,40.0,Expense,INR
278,2018-05-13 20:18:01,Cash,Apparel,Laundry,clothes ironing,77.0,Expense,INR
279,2018-05-13 20:16:54,Cash,Education,Stationary,Gel pen Refills,12.0,Expense,INR
280,2018-05-13 00:06:05,Cash,scrap,Unknown,,20.0,Income,INR
316,2018-04-30 18:25:28,Cash,Food,snacks,6 kachori,72.0,Expense,INR
317,2018-04-30 18:25:08,Cash,Household,Kirana,Supermart,165.0,Expense,INR
318,2018-04-30 09:56:14,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,176.0,Expense,INR
319,2018-04-30 09:48:34,Cash,Food,Biscuits,Toast packet,45.0,Expense,INR
320,2018-04-30 09:48:07,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
321,2018-04-30 06:32:57,Cash,Gift,Unknown,To Family,500.0,Expense,INR
322,2018-04-29 18:28:10,Saving Bank account 1,Food,beverage,2 sugarcane juice,40.0,Expense,INR
323,2018-04-29 09:36:56,Saving Bank account 1,Salary,Unknown,From workplace ,65134.0,Income,INR
324,2018-04-28 21:03:59,Credit Card,Food,Dinner,Home Food Delivery,413.0,Expense,INR
325,2018-04-28 10:04:35,Cash,Family,Pocket money,,500.0,Expense,INR
326,2018-04-27 18:30:51,Cash,Household,Kirana,Supermart,295.0,Expense,INR
327,2018-04-26 20:44:20,Cash,Food,snacks,Noodles packet,30.0,Expense,INR
328,2018-04-26 20:44:50,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
329,2018-04-26 11:30:19,Cash,Family,Pocket money,,1000.0,Expense,INR
330,2018-04-25 18:28:39,Cash,Food,Lunch,Catering Service,70.0,Expense,INR
331,2018-04-24 22:24:28,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
332,2018-04-23 18:21:36,Saving Bank account 1,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
333,2018-04-23 15:22:30,Cash,maid,Unknown,,500.0,Expense,INR
334,2018-04-22 21:03:30,Cash,Food,vegetables,,10.0,Expense,INR
335,2018-04-22 12:35:39,Cash,Household,Kirana,Supermart,190.0,Expense,INR
336,2018-04-22 12:35:28,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
337,2018-04-21 23:15:33,Cash,Food,Ice cream,Naturals,160.0,Expense,INR
338,2018-04-21 21:15:07,Cash,Food,curd,Dahi 2 packets,20.0,Expense,INR
339,2018-04-20 20:39:57,Saving Bank account 1,Food,Dinner,Sugaran Kitchen,70.0,Expense,INR
340,2018-04-19 20:13:20,Cash,Household,Kitchen,flour mill,14.0,Expense,INR
341,2018-04-19 09:55:08,Saving Bank account 1,Food,Eggs,6 eggs,36.0,Expense,INR
342,2018-04-19 09:54:53,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
343,2018-04-17 09:04:44,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
344,2018-04-16 22:40:53,Saving Bank account 1,Education,Stationary,3 Pens,21.0,Expense,INR
345,2018-04-16 20:58:57,Saving Bank account 1,Apparel,Laundry,clothes ironing,63.0,Expense,INR
346,2018-04-16 20:55:46,Saving Bank account 1,Household,Kirana,Cockroach injection,270.0,Expense,INR
347,2018-04-16 18:26:44,Saving Bank account 1,Household,Kirana,Supermart,265.0,Expense,INR
348,2018-04-16 18:26:06,Credit Card,Household,Kirana,Smart point,450.0,Expense,INR
349,2018-04-15 19:07:49,Cash,Food,snacks,pav Bhaji,70.0,Expense,INR
350,2018-04-15 19:07:30,Cash,Food,Tea,2 cutting chai,20.0,Expense,INR
351,2018-04-15 19:06:45,Credit Card,Household,Kitchen,"Vessels for sugar, coffee and tea",799.0,Expense,INR
352,2018-04-15 14:40:22,Credit Card,Family,makeup,Body mist,525.0,Expense,INR
353,2018-04-15 14:40:08,Cash,Transportation,Bike,Station Parking,10.0,Expense,INR
354,2018-04-15 14:39:37,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
355,2018-04-15 14:38:43,Cash,Food,Lunch,Catering Service,70.0,Expense,INR
356,2018-04-14 22:27:04,Saving Bank account 1,Household,Kirana,Supermart,107.0,Expense,INR
357,2018-04-14 22:24:43,Saving Bank account 1,Food,Grocery,Pizza base packet 2,40.0,Expense,INR
358,2018-04-14 06:31:35,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
359,2018-04-14 06:31:14,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
360,2018-04-13 20:34:03,Cash,Health,Lab Tests,Family Thyroid Test + CBC,700.0,Expense,INR
395,2018-03-31 21:39:12,Saving Bank account 1,Food,Ice cream,2 chocobar,45.0,Expense,INR
396,2018-03-31 19:45:07,Credit Card,Food,Dinner,Home Food Delivery,244.0,Expense,INR
397,2018-03-31 14:48:02,Saving Bank account 1,Salary,Unknown,From workplace ,64636.0,Income,INR
398,2018-03-31 13:20:18,Credit Card,Food,Lunch,Domino's Pizza,419.0,Expense,INR
399,2018-03-31 11:32:03,Saving Bank account 1,Transportation,Bike,Station Parking,10.0,Expense,INR
400,2018-03-31 07:36:40,Saving Bank account 1,Interest,Unknown,interest paid,589.0,Income,INR
401,2018-03-31 07:26:26,Cash,Transportation,Train,Place 0 to Sion returns,30.0,Expense,INR
402,2018-03-30 20:10:12,Cash,Food,snacks,1 Panipuri,25.0,Expense,INR
403,2018-03-30 11:27:41,Cash,Food,vegetables,Ginger + green chilli,20.0,Expense,INR
404,2018-03-30 11:27:33,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
405,2018-03-29 20:10:25,Credit Card,Food,Dinner,At restaurant,1234.0,Expense,INR
406,2018-03-27 19:58:24,Cash,Food,breakfast,Bread,35.0,Expense,INR
407,2018-03-26 13:05:30,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
408,2018-03-26 09:55:55,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
409,2018-03-25 22:20:31,Saving Bank account 1,Dividend earned on Shares,Unknown,Marico Stocks,40.5,Income,INR
410,2018-03-25 21:14:42,Cash,Transportation,Bike,Station Parking,10.0,Expense,INR
411,2018-03-25 21:14:08,Cash,Food,snacks,Popcorn family pack,25.0,Expense,INR
412,2018-03-25 21:13:44,Cash,Food,Tea,2 tea,20.0,Expense,INR
413,2018-03-25 21:13:19,Cash,Food,snacks,2 Frankie,160.0,Expense,INR
414,2018-03-25 21:12:38,Credit Card,Food,snacks,French crossiant,80.0,Expense,INR
415,2018-03-25 21:12:00,Credit Card,Food,Tea,IKEA tea 3,240.0,Expense,INR
416,2018-03-23 19:48:39,Cash,Culture,Books,Finding next Job,100.0,Expense,INR
417,2018-03-22 22:30:49,Saving Bank account 1,Food,flour mill,1 kg Bajari,7.0,Expense,INR
418,2018-03-22 22:30:20,Cash,Food,vegetables,Half kg tomato,15.0,Expense,INR
419,2018-03-22 20:13:48,Saving Bank account 1,Household,Kirana,Supermart,153.0,Expense,INR
420,2018-03-22 19:31:37,Saving Bank account 1,Food,snacks,Pickle,150.0,Expense,INR
421,2018-03-22 19:31:16,Cash,Food,snacks,Potato chips,150.0,Expense,INR
422,2018-03-22 12:50:18,Cash,Food,Rajgira ladu,1 packet,20.0,Expense,INR
423,2018-03-22 12:47:34,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
424,2018-03-21 23:13:13,Saving Bank account 1,Food,snacks,2 kachori,24.0,Expense,INR
425,2018-03-21 18:41:45,Credit Card,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
426,2018-03-21 17:26:41,Cash,Family,Pocket money,,50.0,Expense,INR
427,2018-03-20 20:13:08,Credit Card,Food,Dinner,2 Fried rice,246.0,Expense,INR
428,2018-03-20 16:30:07,Saving Bank account 2,Other,Unknown,,17.0,Expense,INR
429,2018-03-20 16:26:08,Credit Card,Food,snacks,Chicken lollypop 8 pcs,215.75,Expense,INR
430,2018-03-20 16:15:59,Cash,Food,breakfast,Bread,18.0,Expense,INR
431,2018-03-20 16:15:41,Cash,Food,Eggs,6 eggs,36.0,Expense,INR
432,2018-03-20 16:15:16,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
433,2018-03-18 20:40:33,Cash,Transportation,Bike,Station Parking,10.0,Expense,INR
434,2018-03-18 18:57:34,Cash,Food,snacks,Dabeli,15.0,Expense,INR
435,2018-03-18 18:47:54,Credit Card,Family,clothes,Trouser,799.0,Expense,INR
436,2018-03-18 18:41:33,Credit Card,Family,clothes,Belt + bow,498.0,Expense,INR
437,2018-03-18 17:16:44,Cash,Food,snacks,Papad packet,50.0,Expense,INR
438,2018-03-18 17:16:27,Cash,Food,snacks,1 Panipuri,30.0,Expense,INR
439,2018-03-18 17:16:09,Cash,Food,Tea,cutting chai,10.0,Expense,INR
440,2018-03-18 16:16:21,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
441,2018-03-17 22:50:45,Cash,Food,Lunch,Catering Service,30.0,Expense,INR
442,2018-03-17 13:13:18,Saving Bank account 1,Food,Milk,Half lit  milk,37.0,Expense,INR
443,2018-03-15 16:27:45,Cash,Food,Lunch,Catering Service,60.0,Expense,INR
444,2018-03-15 16:27:45,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
445,2018-03-14 21:39:40,Cash,Household,Kirana,Mayonnaise + cheese cubes,140.0,Expense,INR
446,2018-03-14 21:38:13,Cash,Food,Onions,onion 2 kg,40.0,Expense,INR
447,2018-03-14 06:04:18,Credit Card,Food,Dinner,Domino's Pizza,578.0,Expense,INR
448,2018-03-14 06:03:35,Share Market Trading,Saving Bank account 1,Unknown,Unused funds,42.88,Transfer-Out,INR
449,2018-03-13 12:39:40,Cash,Family,Pocket money,,480.0,Expense,INR
450,2018-03-13 09:27:56,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
489,2018-02-28 20:32:55,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
490,2018-02-28 20:31:38,Saving Bank account 1,Food,Milk,Half lit Varna milk,36.0,Expense,INR
491,2018-02-28 20:31:10,Credit Card,Food,Onions,onion 1 kg,30.0,Expense,INR
